expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
67;o_holubovska;Ольга Голубовська;4;0;4;0;0;41;0;1;1;0;0;0;5;0;0;3;11;14;3;3;0;0;2;3;1;10;2;0;3;1;3;4;0;7;11;0;5;0;1;8;4;1
172;s_komisarenko;Сергій Комісаренко;0;2;2;0;1;12;0;2;1;0;0;0;3;0;0;0;3;11;3;3;0;0;1;2;4;2;2;0;2;1;1;1;2;6;2;0;2;1;1;5;1;2
386;f_lapii;Федір Лапій;2;5;1;1;2;6;1;0;4;0;0;0;9;0;0;0;0;1;1;4;0;0;0;2;0;2;7;1;2;3;4;3;0;6;2;0;1;1;0;3;2;1
376;s_ryzhenko;Сергій Риженко;2;4;4;0;0;5;1;1;0;0;0;0;7;0;0;1;0;0;3;5;0;0;1;4;2;7;1;1;1;2;2;1;0;3;0;0;0;3;3;1;0;5
524;y_istrebin;Євген Істребін;0;0;0;0;0;0;0;0;13;0;0;0;2;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;25;0
408;n_vynohrad;Наталія Виноград;0;3;0;0;1;4;0;0;0;2;0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;2;4;0;0;2;2;0;3;3;10;0;0;1;0;7;0;5
75;y_komarovskyi;Євген Комаровський;0;0;2;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;5;2;0;0;1;8;3;0;0;0;1;0;3;1;1;1;2;0;0;1;2;2;2;0
621;o_kobevko;Ольга Кобевко;6;4;1;0;0;5;1;0;1;0;0;0;0;0;0;0;4;1;2;0;1;0;0;0;0;3;0;0;1;2;0;0;1;1;0;0;1;0;1;0;1;0
725;k_bulavinova;Катерина Булавінова;1;5;4;0;1;3;0;1;3;0;0;2;1;1;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;4;0;1;0;0;0;1;0;1;0;0
484;a_myronenko;Алла Мироненко;0;1;2;0;1;2;0;0;0;0;0;0;2;1;0;0;0;3;2;1;0;0;0;2;0;1;0;0;0;2;4;1;1;0;0;0;0;0;0;2;1;1
449;t_zhyravetskyi;Тарас Жиравецький;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;2;0;0;0;0;7;4;1;0;0;0;2;0;2;0;1;0
796;v_aristov;Вадим Арістов;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;9;0;1
